X,Y
0.843,-2.678
0.777,-5.035
0.899,-2.591
0.49,-9.278
0.624,-5.761
0.8,-5.082
0.821,-2.545
0.717,-6.403
0.889,-5.175
0.99,-3.909
0.688,-5.233
0.92,-1.474
0.887,-3.659
0.997,-1.656
0.88,-3.964
0.785,-6.031
0.684,-8.559
0.897,-4.569
0.732,-6.816
0.969,-4.419
0.853,-3.203
0.803,-4.251
0.896,-2.704
0.912,-4.684
0.906,-4.525
0.87,-2.09
0.782,-6.315
0.955,-8.027
0.683,-6.012
0.872,-4.076
0.934,-2.921
0.688,-2.426
0.857,-4.185
0.824,-8.71
0.732,-4.522
0.987,-4.71
0.77,-4.399
0.591,-9.189
0.777,-2.452
0.681,-4.104
0.832,-3.039
0.949,-3.575
0.906,-4.881
0.51,-13.064
0.526,-5.046
0.648,-3.792
0.893,-3.792
0.462,-8.128
0.72,-6.812
0.909,-3.552
0.913,-3.059
0.854,-5.478
0.713,-5.311
0.519,-5.88
0.782,-4.825
0.817,-4.069
0.774,-3.167
0.723,-6.164
0.532,-6.833
0.796,-4.761
0.849,-3.516
0.589,-5.093
0.797,-5.084
0.708,-6.019
0.672,-6.109
0.62,-4.187
0.664,-5.297
0.524,-5.599
0.505,-8.256
0.631,-3.814
0.928,-2.787
0.198,-11.747
0.72,-7.026
0.812,-5.29
0.869,-5.094
0.544,-6.797
0.65,-7.79
0.677,-7.237
0.709,-5.955
0.732,-6.762
0.728,-5.914
0.575,-6.478
0.74,-4.786
0.741,-5.751
0.661,-6.705
0.69,-4.665
0.842,-5.612
0.728,-5.871
0.733,-6.072
0.705,-3.393
0.59,-6.805
0.953,-3.74
0.775,-5.452
0.692,-5.49
0.874,-5.558
0.834,-2.752
0.806,-4.714
0.686,-4.893
0.525,-7.39
0.69,-2.656
0.595,-7.618
0.675,-4.496
0.782,-4.962
0.551,-5.615
0.88,-4.555
0.652,-7.347
0.877,-3.016
0.886,-2.167
0.881,-1.448
0.446,-8.01
0.748,-5.522
0.617,-5.871
0.863,-4.341
0.699,-7.467
0.835,-4.162
0.709,-3.979
0.851,-5.111
0.624,-8.794
0.868,-5.503
0.809,-6.759
0.891,-2.983
0.704,-1.69
0.536,-5.026
0.472,-3.869
0.421,-8.255
0.559,-5.876
0.73,-2.813
0.598,-6.178
0.662,-7.016
0.738,-5.32
0.331,-7.789
0.771,-4.503
0.697,-5.063
0.77,-6.091
0.706,-5.132
0.721,-6.44
0.587,-6.677
0.698,-5.606
0.589,-4.929
0.869,-4.375
0.66,-5.883
0.555,-5.942
0.564,-3.89
0.862,-4.527
0.676,-6.432
0.801,-5.641
0.731,-4.996
0.545,-8.536
0.681,-5.267
0.521,-8.465
0.658,-7.758
0.649,-5.999
0.661,-5.988
0.393,-10.821
0.453,-6.941
0.547,-7.535
0.741,-3.908
0.815,-5.668
0.796,-3.263
0.74,-3.967
0.703,-7.127
0.731,-4.478
0.92,-2.618
0.649,-5.176
0.825,-6.107
0.785,-4.034
0.885,-3.186
0.856,-4.668
0.9,-1.578
0.547,-5.21
0.911,-3.583
0.594,-6.421
0.861,-3.781
0.767,-7.806
0.793,-3.506
0.506,-6.944
0.905,-4.506
0.925,-1.327
0.846,-5.138
0.747,-4.583
0.658,-4.719
0.811,-4.669
0.691,-5.308
0.64,-5.628
0.744,-5.033
0.832,-3.539
0.765,-7.121
0.543,-6.923
0.705,-4.896
0.864,-1.847
0.852,-5.317
0.827,-5.176
0.745,-4.801
0.675,-4.176
0.892,-3.272
0.626,-2.528
0.779,-3.841
0.972,-2.302
0.79,-7.555
0.716,-5.327
0.713,-4.777
0.912,-3.331
0.543,-5.288
0.715,-6.587
0.695,-5.561
0.541,-4.885
0.608,-5.862
0.863,-6.52
0.75,-4.954
0.987,-2.711
0.869,-4.375
0.765,-5.147
0.908,-1.471
0.699,-5.572
0.889,-4.045
0.983,-3.51
0.525,-8.473
0.972,-5.013
0.498,-7.318
0.528,-7.748
0.991,-1.501
0.844,-5.022
0.954,-2.31
0.948,-4.635
0.975,-4.57
0.816,-3.313
0.826,-5.615
0.731,-9.147
0.595,-6.366
0.943,-3.343
0.813,-5.756
0.934,-1.576
0.873,-2.652
0.412,-8.687
0.925,-3.208
0.808,-4.055
0.734,-5.48
0.608,-7.344
0.888,-3.348
0.431,-8.407
0.965,-3.101
0.563,-7.261
0.748,-4.895
0.922,-0.819
0.837,-3.815
0.673,-5.922
0.83,-5.018
0.923,-2.981
0.925,-2.036
0.488,-8.253
0.74,-5.509
0.92,-2.298
0.562,-8.92
0.926,-2.629
0.76,-7.64
0.525,-5.221
0.989,-3.621
0.844,-5.012
0.82,-5.94
0.902,-2.602
0.72,-5.589
0.913,-3.027
0.676,-7.927
0.803,-4.896
0.939,-3.052
0.948,-3.657
0.849,-3.826
0.611,-3.943
0.902,-3.205
0.729,-3.047
0.912,-3.342
0.51,-7.314
0.701,-3.325
0.672,-6.875
0.911,-4.157
0.97,-5.118
0.899,-3.152
0.901,-1.138
0.976,-3.208
0.564,-4.986
0.974,-4.905
0.568,-7.817
0.981,-1.619
0.551,-5.198
0.892,-4.653
0.605,-3.841
0.933,-3.489
0.957,-4.379
0.907,-3.213
0.846,-5.738
0.535,-8.302
0.774,-3.701
0.82,-5.145
0.862,-4.736
0.813,-5.937
0.894,-2.73
0.695,-6.064
0.931,-3.816
0.773,-4.846
0.838,-3.489
0.732,-6.762
0.809,-6.017
0.915,-3.456
0.815,-5.098
0.725,-5.426
0.771,-6.015
0.875,-6.221
0.875,-2.807
0.585,-5.861
0.732,-3.847
0.774,-4.214
0.871,-4.792
0.881,-2.981
0.843,-4.991
0.861,-1.521
0.774,-5.051
0.752,-4.831
0.865,-3.19
0.836,-3.004
0.874,-2.628
0.813,-5.792
0.691,-5.618
0.634,-8.464
0.949,-2.338
0.945,-0.75
0.748,-5.793
0.861,-3.757
0.881,-4.392
0.874,-4.565
0.897,-2.539
0.873,-3.422
0.736,-7.948
0.83,-5.715
0.952,-3.231
0.642,-4.089
0.835,-5.194
0.875,-4.871
0.788,-4.292
0.673,-4.946
0.698,-5.608
0.843,-7.983
0.705,-5.137
0.867,-3.207
0.752,-4.401
0.835,-4.676
0.583,-5.562
0.765,-3.865
0.899,-4.237
0.942,-3.858
0.824,-5.892
0.681,-5.003
0.832,-5.853
0.597,-4.651
0.726,-3.77
0.922,-4.457
0.77,-6.596
0.727,-2.42
0.726,-7.731
0.783,-5.367
0.92,-4.78
0.801,-3.769
0.904,-3.354
0.791,-5.194
0.723,-6.164
0.913,-3.059
0.524,-5.599
0.817,-4.069
0.62,-4.187
0.782,-4.825
0.928,-2.787
0.786,-4.378
0.198,-11.747
0.728,-5.871
0.797,-5.084
0.519,-5.88
0.854,-5.478
